loss,hyperparameters,iteration
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 152.47359170270596}",23
0.9871585270454688,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 183.6146135780259}",24
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 389.0587892277329}",25
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 439.7318583694979}",26
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 300.84458728343407}",27
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 252.5783273388598}",28
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 344.80836823065493}",29
0.9847877303275834,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 171.80024265517903}",30
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 203.68664456325305}",31
0.9880028664257041,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 222.96483040257422}",32
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 337.3299547359335}",33
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 358.71016531844657}",34
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 183.04973754929446}",35
0.9871585270454688,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 163.18001302542325}",36
0.9851282754052679,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 418.975455767439}",37
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 477.3320444805651}",38
0.9874706933666799,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 465.44350905220756}",39
0.9877520827266446,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 490.682664295624}",40
0.9874706933666799,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 472.21761143853644}",41
0.9900705186403321,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 459.66462311157244}",42
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 316.7678341278534}",43
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 409.1976807074444}",44
0.9847877303275834,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 422.1329027105464}",45
0.9836261998161376,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 373.77975605227056}",46
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 284.85531818122547}",47
0.9943531984628649,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 4.700207596526207, 'num_iterations': 465.63538363064913}",48
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 369.4184689875913}",49
0.9836261998161376,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 355.96928908990355}",50
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 219.24686375213753}",51
0.9871585270454688,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 234.98689736502735}",52
0.9852135829750301,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 229.89789008216425}",53
0.9877119413467634,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 352.2547051216758}",54
0.9869068297445912,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.5910713853679357, 'num_iterations': 230.10073280745382}",55
0.9877119413467634,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 7.719682413724857, 'num_iterations': 463.31660711165057}",56
0.9852135829750301,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 211.96000157670082}",57
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 3.3900131712273516, 'num_iterations': 228.58424900771973}",58
0.9828188042094205,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 223.82557956875888}",59
0.9877119413467634,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 238.33892668697462}",60
0.9874706933666799,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 225.74045650793963}",61
0.9889933249967168,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 242.37304021332397}",62
0.9889933249967168,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 225.72258157487252}",63
0.986648280430078,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 3.301773205673788, 'num_iterations': 225.22611459861866}",64
0.9874706933666799,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 320.1517342903783}",65
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 282.9497230122964}",66
0.9889933249967168,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 265.4325918622778}",67
0.9830693024079118,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 140.80129061977289}",68
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 427.85838634024583}",69
0.5,"{'bagging_fraction': 0.1, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 453.8561257506565}",70
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 268.3467976736423}",71
0.9847877303275834,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 1.0, 'num_iterations': 227.29545760259074}",72
0.9870824125940011,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 233.39583955462123}",73
0.9875315049876949,"{'bagging_fraction': 1.0, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 1.0, 'num_iterations': 382.2690839065034}",74
