loss,hyperparameters,iteration,runtime
-0.9695184785571331,"{'learning_rate': 0.31977804882192795, 'max_depth': 4.520279339206154, 'max_features': 0.3689348766981754, 'n_estimators': 109, 'random_state': 0, 'subsample': 0.20334697534516621}",2,25.629107364453375
-0.7663700344872787,"{'learning_rate': 0.7318431434252743, 'max_depth': 5.650902416747778, 'max_features': 0.3325671942044165, 'n_estimators': 480, 'random_state': 0, 'subsample': 0.25555797990229157}",3,142.40167363733053
-0.9405180896969959,"{'learning_rate': 0.0588564377032611, 'max_depth': 1.9377467680938851, 'max_features': 0.5989662645390942, 'n_estimators': 293, 'random_state': 0, 'subsample': 0.5759324774525232}",4,46.84402892366052
-0.9711471965620859,"{'learning_rate': 0.51609316218961, 'max_depth': 1.5622134981679396, 'max_features': 0.12629229808214837, 'n_estimators': 435, 'random_state': 0, 'subsample': 0.21137948256750327}",5,25.593569195829332
-0.9727178171582167,"{'learning_rate': 0.36282401348014526, 'max_depth': 2.057835397408102, 'max_features': 0.17519688080841433, 'n_estimators': 460, 'random_state': 0, 'subsample': 0.34365264424313513}",6,49.35049830749631
-0.5,"{'learning_rate': 0.4460003471579741, 'max_depth': 0.2971664172404509, 'max_features': 0.28017330114496, 'n_estimators': 492, 'random_state': 0, 'subsample': 0.7503506589344474}",7,18.438716013915837
-0.9735874653492257,"{'learning_rate': 0.6996480762818749, 'max_depth': 2.2032402690983917, 'max_features': 0.32333867686146767, 'n_estimators': 372, 'random_state': 0, 'subsample': 0.9380492600763961}",8,73.72700467146933
-0.9578427707693613,"{'learning_rate': 0.7566799003782968, 'max_depth': 7.0281523189109985, 'max_features': 0.49743743829038645, 'n_estimators': 147, 'random_state': 0, 'subsample': 0.901755119738089}",9,195.2478104820475
-0.971317926356611,"{'learning_rate': 0.7447511940075869, 'max_depth': 1.3025243837398222, 'max_features': 0.8445069073383527, 'n_estimators': 254, 'random_state': 0, 'subsample': 0.5626471021678782}",10,52.8289971454069
-0.5,"{'learning_rate': 0.49335823511813126, 'max_depth': 0.5799934535931897, 'max_features': 0.6903608611921427, 'n_estimators': 199, 'random_state': 0, 'subsample': 0.3931558992149592}",11,9.43107692990452
-0.9568006305861531,"{'learning_rate': 0.7799946385021652, 'max_depth': 6.995298326344266, 'max_features': 0.9016073840987159, 'n_estimators': 80, 'random_state': 0, 'subsample': 0.45694424154247026}",12,92.8188411258161
-0.9719478751843944,"{'learning_rate': 0.7942398247112705, 'max_depth': 2.3579506441205638, 'max_features': 0.21297752919903779, 'n_estimators': 463, 'random_state': 0, 'subsample': 0.7928872718395209}",13,65.11223387345672
-0.9641525581846164,"{'learning_rate': 0.34850725885409417, 'max_depth': 7.564186407341745, 'max_features': 0.9761007780170783, 'n_estimators': 235, 'random_state': 0, 'subsample': 0.5996961483284281}",14,471.59465160034597
-0.9656804050809663,"{'learning_rate': 0.2286175983744062, 'max_depth': 3.234373823564769, 'max_features': 0.36280339588168253, 'n_estimators': 31, 'random_state': 0, 'subsample': 0.5694758947425148}",15,14.319779581390321
-0.9704122343608377,"{'learning_rate': 0.21800628190334348, 'max_depth': 4.055601803487591, 'max_features': 0.2708351177928713, 'n_estimators': 39, 'random_state': 0, 'subsample': 0.39286563419627296}",16,13.231390482746065
-0.9685096931386603,"{'learning_rate': 0.6309662520285759, 'max_depth': 3.927492921851348, 'max_features': 0.5110246023632666, 'n_estimators': 318, 'random_state': 0, 'subsample': 0.4079176128016322}",17,105.26357466261834
-0.9623539962272636,"{'learning_rate': 0.5296831739170749, 'max_depth': 6.272557685932671, 'max_features': 0.06045221699865677, 'n_estimators': 140, 'random_state': 0, 'subsample': 0.4592133188483932}",18,23.685535904951394
-0.9719634299952398,"{'learning_rate': 0.065993852837543, 'max_depth': 2.093912271073152, 'max_features': 0.6631326663792025, 'n_estimators': 347, 'random_state': 0, 'subsample': 0.3588617557677153}",19,82.5517617398873
-0.9723190933170948,"{'learning_rate': 0.34048099460597214, 'max_depth': 3.41650442259483, 'max_features': 0.9366254807005152, 'n_estimators': 302, 'random_state': 0, 'subsample': 0.40475452202412343}",20,147.4580394104123
-0.8961344447024053,"{'learning_rate': 0.2917036784581206, 'max_depth': 1.088864106983225, 'max_features': 0.10743604245729244, 'n_estimators': 32, 'random_state': 0, 'subsample': 0.15918276718910263}",21,2.7657615384086967
-0.7826205753630291,"{'learning_rate': 0.9979933707301964, 'max_depth': 2.942531636466483, 'max_features': 0.1949205465233423, 'n_estimators': 313, 'random_state': 0, 'subsample': 0.055303975314792975}",22,17.06528120767325
-0.5,"{'learning_rate': 0.9302345565602868, 'max_depth': 0.015868947777181397, 'max_features': 0.449705168740028, 'n_estimators': 57, 'random_state': 0, 'subsample': 0.9923148141014}",23,2.502311601303518
-0.9597560575169993,"{'learning_rate': 0.8984837313268295, 'max_depth': 5.067913049589781, 'max_features': 0.030247672121555658, 'n_estimators': 289, 'random_state': 0, 'subsample': 0.6996529546683792}",24,28.863308414816856
-0.960745619769877,"{'learning_rate': 0.6233831462831312, 'max_depth': 2.745474575200803, 'max_features': 0.18711280111503537, 'n_estimators': 55, 'random_state': 0, 'subsample': 0.036645687143641525}",25,3.969487139955163
-0.5,"{'learning_rate': 0.6197542838067969, 'max_depth': 0.7524617390237491, 'max_features': 0.003854754880779604, 'n_estimators': 90, 'random_state': 0, 'subsample': 0.30344076883085974}",26,4.786591390147805
