loss,hyperparameters,iteration
0.97496307757214,"{'bagging_fraction': 0.9644814067779963, 'feature_fraction': 0.9892308990640103, 'lambda_l1': 0.11423160961521617, 'lambda_l2': 0.9996402583425483, 'learning_rate': 0.1189136733315937, 'max_depth': 7.825085177730799, 'num_iterations': 107.87418101316098}",22
0.9751000270903651,"{'bagging_fraction': 0.9367751262155996, 'feature_fraction': 0.6904301388599667, 'lambda_l1': 0.790142248839207, 'lambda_l2': 0.04686811419009074, 'learning_rate': 0.18835287642611565, 'max_depth': 7.983270609218478, 'num_iterations': 476.2874377707688}",23
0.9749016691545191,"{'bagging_fraction': 0.9851320882338577, 'feature_fraction': 0.9470691490645593, 'lambda_l1': 0.046639781176905926, 'lambda_l2': 0.9856734842646676, 'learning_rate': 0.1299873279384575, 'max_depth': 7.1959957775235415, 'num_iterations': 254.7612139097335}",24
0.9524981283284001,"{'bagging_fraction': 0.8875018065630915, 'feature_fraction': 0.8375135774275304, 'lambda_l1': 0.7653707522144777, 'lambda_l2': 0.08071337388552846, 'learning_rate': 0.10132567240814676, 'max_depth': 1.068149228335383, 'num_iterations': 267.4162943979443}",25
0.975131993464891,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 0.0, 'lambda_l2': 1.0, 'learning_rate': 0.1, 'max_depth': 8.0, 'num_iterations': 301.44174357089156}",26
0.9633036157323918,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 1.0, 'lambda_l2': 1.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 221.26152676706246}",27
0.9743679406427157,"{'bagging_fraction': 0.9845279184053032, 'feature_fraction': 0.3599795243631634, 'lambda_l1': 0.3817578528721949, 'lambda_l2': 0.9731386888436998, 'learning_rate': 0.47699365267272853, 'max_depth': 7.80188265780373, 'num_iterations': 380.22607495697264}",28
0.9672228320097084,"{'bagging_fraction': 0.973483129123795, 'feature_fraction': 0.2494265611326155, 'lambda_l1': 0.17584534717566636, 'lambda_l2': 0.8767386327124889, 'learning_rate': 0.3853056681226309, 'max_depth': 1.0967069821012654, 'num_iterations': 195.5459785761573}",29
0.9747867752090562,"{'bagging_fraction': 0.9805001561565786, 'feature_fraction': 0.3220489688578432, 'lambda_l1': 0.05037993527901652, 'lambda_l2': 0.9621673784087019, 'learning_rate': 0.32732070905862254, 'max_depth': 7.488527925091079, 'num_iterations': 275.22898541855125}",30
0.9736772329979061,"{'bagging_fraction': 0.9138158242462653, 'feature_fraction': 0.9939653951367095, 'lambda_l1': 0.9194502728282165, 'lambda_l2': 0.9405404315420295, 'learning_rate': 0.639285422021208, 'max_depth': 7.967004404746695, 'num_iterations': 360.7041178404242}",31
0.9699841975869508,"{'bagging_fraction': 0.41063502819168873, 'feature_fraction': 0.9040197631889609, 'lambda_l1': 0.6109179058120159, 'lambda_l2': 0.9595522003037719, 'learning_rate': 0.950440237147202, 'max_depth': 7.286955803549555, 'num_iterations': 286.38948128518325}",32
0.9721376041920886,"{'bagging_fraction': 0.13317548169809323, 'feature_fraction': 0.10833100235192868, 'lambda_l1': 0.9819972030663848, 'lambda_l2': 0.7188592469528456, 'learning_rate': 0.47375443533609074, 'max_depth': 7.617969803799637, 'num_iterations': 243.9815795200905}",33
0.9733553720263245,"{'bagging_fraction': 0.1194428154108651, 'feature_fraction': 0.24407799787027756, 'lambda_l1': 0.7815901143817942, 'lambda_l2': 0.9605298186491329, 'learning_rate': 0.1924913904081491, 'max_depth': 2.8716420099787068, 'num_iterations': 313.42304468940176}",34
0.9727194582578642,"{'bagging_fraction': 0.5309121218883872, 'feature_fraction': 0.10047462193540958, 'lambda_l1': 0.06950798800561109, 'lambda_l2': 0.9712104126322839, 'learning_rate': 0.7919207317494494, 'max_depth': 7.86245135938036, 'num_iterations': 174.9467191407429}",35
0.9737927553196352,"{'bagging_fraction': 0.8912417609644009, 'feature_fraction': 0.9539663298973474, 'lambda_l1': 0.31083861141253244, 'lambda_l2': 0.10350315511504371, 'learning_rate': 0.3656119018911088, 'max_depth': 1.6211571615951588, 'num_iterations': 123.11585647824242}",36
0.9739483299006544,"{'bagging_fraction': 0.9942464392437178, 'feature_fraction': 0.8224819546859683, 'lambda_l1': 0.12433633700858449, 'lambda_l2': 0.9594738803064715, 'learning_rate': 0.8852939525518432, 'max_depth': 2.7166946762540625, 'num_iterations': 232.8218339162267}",37
0.974878667982679,"{'bagging_fraction': 0.9904136254303775, 'feature_fraction': 0.9794429028301429, 'lambda_l1': 0.4546364801890569, 'lambda_l2': 0.9919657096006825, 'learning_rate': 0.11089756764185357, 'max_depth': 6.216098191245399, 'num_iterations': 317.92797111167835}",38
0.9751944566030399,"{'bagging_fraction': 0.906205620552598, 'feature_fraction': 0.30022125671583594, 'lambda_l1': 0.05777166494157837, 'lambda_l2': 0.8952987924347379, 'learning_rate': 0.10816017137137429, 'max_depth': 7.91044971664129, 'num_iterations': 353.88428484558165}",39
0.9750403671231938,"{'bagging_fraction': 0.8948245417294649, 'feature_fraction': 0.3381827954319735, 'lambda_l1': 0.10393752583971572, 'lambda_l2': 0.13057812168931393, 'learning_rate': 0.136666250909591, 'max_depth': 6.668180884653964, 'num_iterations': 154.30029684466064}",40
0.9743028462992861,"{'bagging_fraction': 0.9925045496506204, 'feature_fraction': 0.875561409195372, 'lambda_l1': 0.8096291978715503, 'lambda_l2': 0.2901249902065067, 'learning_rate': 0.22371932675870515, 'max_depth': 1.5787153306238944, 'num_iterations': 397.87951003320086}",41
0.9661118478467486,"{'bagging_fraction': 0.9778407179349387, 'feature_fraction': 0.7476415034046499, 'lambda_l1': 0.4216762829897227, 'lambda_l2': 0.10704899316586125, 'learning_rate': 0.16805506152501298, 'max_depth': 1.1554534237892848, 'num_iterations': 382.7663745393964}",42
0.9747887691602826,"{'bagging_fraction': 0.5173630638629046, 'feature_fraction': 0.5166375119792662, 'lambda_l1': 0.5304842294354426, 'lambda_l2': 0.19539425058524174, 'learning_rate': 0.1346157141857636, 'max_depth': 7.956163565547171, 'num_iterations': 407.5789670852249}",43
0.9751701214740658,"{'bagging_fraction': 0.9969458703438302, 'feature_fraction': 0.2417823619760911, 'lambda_l1': 0.9197545554790822, 'lambda_l2': 0.827140797967428, 'learning_rate': 0.2750809580854382, 'max_depth': 7.26360834252334, 'num_iterations': 397.63676554464786}",44
0.9751545818402395,"{'bagging_fraction': 0.8999108571884759, 'feature_fraction': 0.41866803217311654, 'lambda_l1': 0.8122656087560866, 'lambda_l2': 0.10023671304369641, 'learning_rate': 0.18115569784478197, 'max_depth': 7.944326963744397, 'num_iterations': 367.8993862060449}",45
0.9635640927608493,"{'bagging_fraction': 0.9624096184562332, 'feature_fraction': 0.6305382077671, 'lambda_l1': 0.03299688730448713, 'lambda_l2': 0.7813519674919421, 'learning_rate': 0.1631261277488381, 'max_depth': 1.166216760074467, 'num_iterations': 302.17489683712574}",46
0.9716249682382158,"{'bagging_fraction': 0.6101560582062299, 'feature_fraction': 0.8793259395107128, 'lambda_l1': 0.09284812204095205, 'lambda_l2': 0.005318488482586536, 'learning_rate': 0.7831976701978091, 'max_depth': 7.888734322306652, 'num_iterations': 120.01594673272349}",47
0.9700132864010712,"{'bagging_fraction': 0.20898755128761493, 'feature_fraction': 0.2459950625432424, 'lambda_l1': 0.2069476104414375, 'lambda_l2': 0.999846141708874, 'learning_rate': 0.8532162454591372, 'max_depth': 7.5125118025027415, 'num_iterations': 272.65036173377445}",48
0.9751848259007755,"{'bagging_fraction': 0.8478922419585689, 'feature_fraction': 0.9793588476253152, 'lambda_l1': 0.9316618606567851, 'lambda_l2': 0.8973526033403556, 'learning_rate': 0.11386546715959482, 'max_depth': 7.274932613396124, 'num_iterations': 174.65392681082483}",49
0.9750343208073489,"{'bagging_fraction': 0.9278790256136306, 'feature_fraction': 0.11551535631721786, 'lambda_l1': 0.3327669465532185, 'lambda_l2': 0.9952568126831969, 'learning_rate': 0.12063559726643021, 'max_depth': 6.987897997663146, 'num_iterations': 236.8258535604206}",50
0.9692519628719805,"{'bagging_fraction': 0.119238338837867, 'feature_fraction': 0.19363588998820136, 'lambda_l1': 0.9356675350320047, 'lambda_l2': 0.928875271613003, 'learning_rate': 0.5907663880194185, 'max_depth': 1.1321300232617042, 'num_iterations': 408.0342352241981}",51
0.9751325984093059,"{'bagging_fraction': 0.9430594586394101, 'feature_fraction': 0.1446047108475406, 'lambda_l1': 0.8227896368860975, 'lambda_l2': 0.9910699207519984, 'learning_rate': 0.10589861761612891, 'max_depth': 7.462995815784823, 'num_iterations': 278.6111699458452}",52
0.9735978027225377,"{'bagging_fraction': 0.16589609575278055, 'feature_fraction': 0.7915879356182259, 'lambda_l1': 0.05686133780637381, 'lambda_l2': 0.019867494325765733, 'learning_rate': 0.1741098231157967, 'max_depth': 2.2297223526453083, 'num_iterations': 462.5839469649032}",53
0.9734425083801035,"{'bagging_fraction': 0.12150736064663686, 'feature_fraction': 0.989545502960657, 'lambda_l1': 0.8934588426512614, 'lambda_l2': 0.7998245147853773, 'learning_rate': 0.1436444910166593, 'max_depth': 7.749845263913804, 'num_iterations': 394.50402639418235}",54
0.9494445916313818,"{'bagging_fraction': 0.9928763177874123, 'feature_fraction': 0.49302802935972767, 'lambda_l1': 0.7185429778731428, 'lambda_l2': 0.6997411004090073, 'learning_rate': 0.16824753449447782, 'max_depth': 1.0572850930070379, 'num_iterations': 142.3047275439934}",55
0.9735465234863782,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.6685665878599832, 'lambda_l2': 0.9999999988603808, 'learning_rate': 0.1, 'max_depth': 7.989172917176168, 'num_iterations': 163.0981374890242}",56
0.9709492221665353,"{'bagging_fraction': 0.9488257543661784, 'feature_fraction': 0.22014418532662716, 'lambda_l1': 0.8375555511999042, 'lambda_l2': 0.990677483171818, 'learning_rate': 0.14744371190480726, 'max_depth': 1.9755591150907428, 'num_iterations': 111.46128177997947}",57
0.9744732974682803,"{'bagging_fraction': 0.6405794695535428, 'feature_fraction': 0.9631138303762566, 'lambda_l1': 0.019655507312138387, 'lambda_l2': 0.15481363879755095, 'learning_rate': 0.18320655973967045, 'max_depth': 2.5709734530336306, 'num_iterations': 176.9717252886078}",58
0.9750268428715605,"{'bagging_fraction': 0.8957378033383685, 'feature_fraction': 0.24989794838811144, 'lambda_l1': 0.024778239518176592, 'lambda_l2': 0.4911498803625518, 'learning_rate': 0.15416067977043796, 'max_depth': 7.89342869002619, 'num_iterations': 132.0404132514575}",59
0.9722547151462553,"{'bagging_fraction': 0.9126418315341723, 'feature_fraction': 0.8027426281910919, 'lambda_l1': 0.12164336856229552, 'lambda_l2': 0.026384564154448786, 'learning_rate': 0.9447910904185379, 'max_depth': 7.44322707248726, 'num_iterations': 445.90094734527025}",60
0.9739805712793899,"{'bagging_fraction': 0.2925008995578233, 'feature_fraction': 0.8977298411519065, 'lambda_l1': 0.6718549458418701, 'lambda_l2': 0.11954558553627126, 'learning_rate': 0.20364298306427192, 'max_depth': 7.774615167777371, 'num_iterations': 100.8508612541203}",61
0.9743903424346543,"{'bagging_fraction': 0.40794720350985003, 'feature_fraction': 0.9635796409207291, 'lambda_l1': 0.05110329042804429, 'lambda_l2': 0.24283289094651272, 'learning_rate': 0.16226881159149878, 'max_depth': 7.967805981105791, 'num_iterations': 142.1296813637285}",62
0.9748090180061298,"{'bagging_fraction': 0.8545917788239614, 'feature_fraction': 0.8782574111269686, 'lambda_l1': 0.170680115805255, 'lambda_l2': 0.9386352822133991, 'learning_rate': 0.18299534397691053, 'max_depth': 7.45468913134165, 'num_iterations': 245.25951065775735}",63
0.9750315721159517,"{'bagging_fraction': 0.8661956177491092, 'feature_fraction': 0.1477361421457173, 'lambda_l1': 0.773388901282251, 'lambda_l2': 0.06850581174704862, 'learning_rate': 0.24647670939456118, 'max_depth': 6.365446705720936, 'num_iterations': 167.5500529254307}",64
